equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ101,Moteur électrique 101,Transformateur,Atelier C,Danfoss,MOD-6065,SN500159,2021-09-20,Important,En service
EQ102,Pompe centrifuge 102,Presse hydraulique,Zone de stockage,ABB,MOD-2750,SN837631,2023-07-24,Critique,En maintenance
EQ103,Ventilateur 103,Ventilateur,Atelier B,Danfoss,MOD-5082,SN136503,2021-02-19,Standard,En service
EQ104,Transformateur 104,Chaudière,Salle des machines,Bosch Rexroth,MOD-4548,SN952248,2023-02-11,Standard,En service
EQ105,Moteur électrique 105,Échangeur thermique,Zone de conditionnement,Atlas Copco,MOD-6630,SN154791,2016-12-09,Critique,En service
EQ106,Pompe centrifuge 106,Transformateur,Atelier C,Bosch Rexroth,MOD-9056,SN709058,2019-11-06,Critique,En service
EQ107,Ventilateur 107,Convoyeur,Zone de stockage,Danfoss,MOD-6798,SN364271,2023-01-30,Critique,En service
EQ108,Presse hydraulique 108,Transformateur,Chaufferie,Schneider,MOD-3110,SN953274,2022-11-30,Standard,En service
EQ109,Ventilateur 109,Convoyeur,Ligne de production 1,Bosch Rexroth,MOD-5430,SN256393,2016-08-31,Important,Arrêté
EQ110,Moteur électrique 110,Ventilateur,Chaufferie,Siemens,MOD-7963,SN712724,2020-10-22,Important,En service
EQ111,Presse hydraulique 111,Pompe centrifuge,Zone de stockage,ABB,MOD-6954,SN385749,2020-12-29,Standard,En service
EQ112,Robot industriel 112,Pompe centrifuge,Atelier B,Grundfos,MOD-5943,SN810903,2022-04-30,Standard,En service
EQ113,Pompe centrifuge 113,Pompe centrifuge,Zone de stockage,Danfoss,MOD-6281,SN603178,2017-05-23,Important,Arrêté
EQ114,Échangeur thermique 114,Moteur électrique,Zone de stockage,Atlas Copco,MOD-9948,SN103955,2024-11-05,Standard,Arrêté
EQ115,Chaudière 115,Pompe centrifuge,Zone de conditionnement,ABB,MOD-2128,SN971485,2019-05-05,Standard,En service
EQ116,Compresseur 116,Compresseur,Zone de stockage,Atlas Copco,MOD-3521,SN528183,2022-08-27,Important,Arrêté
EQ117,Réducteur 117,Convoyeur,Ligne de production 1,Atlas Copco,MOD-1676,SN866079,2018-02-16,Standard,En maintenance
EQ118,Moteur électrique 118,Transformateur,Ligne de production 1,Bosch Rexroth,MOD-7361,SN454121,2016-08-22,Critique,En maintenance
EQ119,Réducteur 119,Pompe centrifuge,Ligne de production 1,Grundfos,MOD-9658,SN842404,2024-07-24,Critique,En service
EQ120,Groupe électrogène 120,Échangeur thermique,Zone de stockage,ABB,MOD-7316,SN196371,2021-08-14,Important,En maintenance
EQ121,Convoyeur 121,Moteur électrique,Salle des machines,Danfoss,MOD-7376,SN191887,2021-06-03,Standard,En service
EQ122,Convoyeur 122,Pompe centrifuge,Atelier B,Schneider,MOD-2359,SN351325,2023-01-17,Standard,En service
EQ123,Moteur électrique 123,Convoyeur,Atelier A,ABB,MOD-5514,SN852798,2019-04-11,Standard,Arrêté
EQ124,Groupe électrogène 124,Réducteur,Ligne de production 1,Bosch Rexroth,MOD-9205,SN196498,2019-09-20,Standard,En service
EQ125,Moteur électrique 125,Échangeur thermique,Atelier A,Siemens,MOD-3426,SN550696,2023-07-27,Important,Arrêté
EQ126,Compresseur 126,Convoyeur,Atelier B,ABB,MOD-2223,SN781694,2023-01-24,Standard,En maintenance
EQ127,Compresseur 127,Échangeur thermique,Chaufferie,Bosch Rexroth,MOD-5795,SN277551,2020-05-22,Standard,En service
EQ128,Moteur électrique 128,Compresseur,Zone de stockage,ABB,MOD-4133,SN337940,2018-01-09,Standard,En service
EQ129,Réducteur 129,Échangeur thermique,Atelier A,Siemens,MOD-3538,SN349090,2023-08-19,Critique,En service
EQ130,Réducteur 130,Pompe centrifuge,Salle des machines,Grundfos,MOD-4609,SN303686,2022-05-16,Critique,En service
EQ131,Presse hydraulique 131,Convoyeur,Salle des machines,Siemens,MOD-9143,SN353076,2022-07-14,Critique,Arrêté
EQ132,Moteur électrique 132,Réducteur,Salle des machines,Schneider,MOD-5177,SN772009,2019-10-23,Critique,En service
EQ133,Groupe électrogène 133,Ventilateur,Zone de conditionnement,Schneider,MOD-3767,SN632182,2023-11-25,Standard,En service
EQ134,Robot industriel 134,Groupe électrogène,Atelier A,Danfoss,MOD-6053,SN706616,2018-06-10,Standard,En maintenance
EQ135,Pompe centrifuge 135,Presse hydraulique,Atelier C,Atlas Copco,MOD-4795,SN362672,2024-03-19,Important,En service
EQ136,Transformateur 136,Presse hydraulique,Atelier A,ABB,MOD-2096,SN994446,2018-10-06,Critique,En service
EQ137,Chaudière 137,Réducteur,Station de pompage,Bosch Rexroth,MOD-5482,SN915330,2024-05-05,Important,En maintenance
EQ138,Ventilateur 138,Compresseur,Ligne de production 1,Atlas Copco,MOD-1117,SN563806,2023-08-30,Critique,En service
EQ139,Moteur électrique 139,Échangeur thermique,Zone de stockage,Siemens,MOD-7702,SN811648,2017-06-08,Important,Arrêté
EQ140,Compresseur 140,Transformateur,Ligne de production 1,Siemens,MOD-2491,SN343473,2023-10-20,Critique,En maintenance
EQ141,Presse hydraulique 141,Compresseur,Station de pompage,Grundfos,MOD-4648,SN918847,2022-07-07,Standard,En service
EQ142,Échangeur thermique 142,Échangeur thermique,Salle des machines,Grundfos,MOD-4161,SN843547,2018-12-31,Important,En service
EQ143,Convoyeur 143,Réducteur,Atelier A,Bosch Rexroth,MOD-3017,SN878056,2016-04-22,Standard,En service
EQ144,Transformateur 144,Moteur électrique,Zone de conditionnement,Atlas Copco,MOD-9624,SN445202,2018-01-12,Standard,Arrêté
EQ145,Ventilateur 145,Presse hydraulique,Salle des machines,Bosch Rexroth,MOD-4538,SN654831,2020-10-08,Critique,En service
EQ146,Moteur électrique 146,Transformateur,Ligne de production 2,Atlas Copco,MOD-6265,SN741895,2019-07-01,Standard,En maintenance
