work_order_id,equipment_id,work_order_type,description,priority,status,creation_date,planned_date,completion_date,assigned_technician,estimated_hours,actual_hours
WO3001,EQ261,Maintenance préventive,Maintenance Presse hydraulique 261 - Contrôle,Très urgent,Terminé,2025-06-27,2025-06-29,2025-07-02,Pierre Moreau,6,16
WO3002,EQ231,Nettoyage,Maintenance Chaudière 231 - Contrôle,Urgent,Terminé,2025-05-30,2025-06-07,2025-06-06,Claire Bernard,3,18
WO3003,EQ088,Maintenance préventive,Maintenance Moteur électrique 88 - Réparation,Urgent,Terminé,2025-07-01,2025-07-08,2025-07-07,Claire Bernard,12,11
WO3004,EQ247,Maintenance corrective,Maintenance Groupe électrogène 247 - Vérification,Très urgent,Annulé,2025-09-21,2025-09-23,,Claire Bernard,3,
WO3005,EQ497,Nettoyage,Maintenance Presse hydraulique 497 - Contrôle,Programmé,En cours,2025-10-19,2025-10-25,,Jean Leroy,7,
WO3006,EQ053,Révision générale,Maintenance Ventilateur 53 - Contrôle,Programmé,Terminé,2025-05-19,2025-05-25,2025-05-28,Jean Leroy,10,20
WO3007,EQ270,Dépannage urgent,Maintenance Convoyeur 270 - Vérification,Urgent,Terminé,2025-10-25,2025-11-05,2025-11-05,Marie Durand,2,16
WO3008,EQ319,Maintenance préventive,Maintenance Groupe électrogène 319 - Réparation,Urgent,Terminé,2025-10-19,2025-10-27,2025-10-27,Martin Dubois,5,14
WO3009,EQ079,Inspection,Maintenance Moteur électrique 79 - Contrôle,Programmé,Terminé,2025-08-05,2025-08-15,2025-08-17,Martin Dubois,14,16
WO3010,EQ013,Nettoyage,Maintenance Réducteur 13 - Vérification,Programmé,Terminé,2025-05-28,2025-06-04,2025-06-07,Sophie Laurent,12,1
WO3011,EQ249,Maintenance préventive,Maintenance Moteur électrique 249 - Vérification,Programmé,Terminé,2025-05-16,2025-05-21,2025-05-21,Martin Dubois,15,7
WO3012,EQ225,Amélioration,Maintenance Moteur électrique 225 - Réparation,Très urgent,Terminé,2025-10-02,2025-10-10,2025-10-13,Jean Leroy,4,12
WO3013,EQ256,Maintenance préventive,Maintenance Ventilateur 256 - Remplacement,Programmé,Annulé,2025-07-13,2025-07-21,,Martin Dubois,6,
WO3014,EQ078,Inspection,Maintenance Groupe électrogène 78 - Réparation,Normal,Terminé,2025-08-03,2025-08-14,2025-08-19,Marie Durand,14,8
WO3015,EQ026,Amélioration,Maintenance Transformateur 26 - Vérification,Programmé,Terminé,2025-09-30,2025-10-10,2025-10-11,Martin Dubois,10,16
WO3016,EQ346,Inspection,Maintenance Ventilateur 346 - Vérification,Normal,Terminé,2025-07-17,2025-07-28,2025-07-26,Jean Leroy,15,5
WO3017,EQ223,Maintenance préventive,Maintenance Moteur électrique 223 - Réparation,Urgent,Terminé,2025-07-04,2025-07-07,2025-07-09,Claire Bernard,1,1
WO3018,EQ391,Révision générale,Maintenance Ventilateur 391 - Vérification,Urgent,Terminé,2025-10-03,2025-10-09,2025-10-14,Martin Dubois,15,8
WO3019,EQ350,Dépannage urgent,Maintenance Moteur électrique 350 - Contrôle,Normal,Terminé,2025-07-16,2025-07-30,2025-08-04,Jean Leroy,13,5
WO3020,EQ063,Dépannage urgent,Maintenance Convoyeur 63 - Contrôle,Urgent,Terminé,2025-06-11,2025-06-23,2025-06-24,Sophie Laurent,10,18
WO3021,EQ377,Maintenance corrective,Maintenance Chaudière 377 - Remplacement,Normal,Terminé,2025-05-16,2025-05-25,2025-05-24,Pierre Moreau,15,10
WO3022,EQ207,Inspection,Maintenance Groupe électrogène 207 - Réparation,Très urgent,Terminé,2025-10-19,2025-10-29,2025-10-29,Sophie Laurent,12,10
WO3023,EQ008,Révision générale,Maintenance Convoyeur 08 - Contrôle,Normal,Terminé,2025-06-11,2025-06-24,2025-06-25,Martin Dubois,6,3
WO3024,EQ340,Inspection,Maintenance Transformateur 340 - Réparation,Très urgent,Terminé,2025-09-14,2025-09-26,2025-09-29,Claire Bernard,1,5
WO3025,EQ243,Amélioration,Maintenance Presse hydraulique 243 - Remplacement,Très urgent,Terminé,2025-08-24,2025-08-31,2025-09-02,Pierre Moreau,10,10
WO3026,EQ413,Amélioration,Maintenance Transformateur 413 - Remplacement,Programmé,Annulé,2025-09-28,2025-10-11,,Claire Bernard,7,
WO3027,EQ210,Révision générale,Maintenance Robot industriel 210 - Vérification,Très urgent,Terminé,2025-06-02,2025-06-04,2025-06-07,Claire Bernard,11,17
WO3028,EQ385,Dépannage urgent,Maintenance Convoyeur 385 - Contrôle,Programmé,Terminé,2025-05-23,2025-05-30,2025-06-02,Sophie Laurent,15,7
WO3029,EQ490,Amélioration,Maintenance Convoyeur 490 - Contrôle,Normal,Annulé,2025-05-27,2025-06-06,,Claire Bernard,2,
WO3030,EQ214,Maintenance corrective,Maintenance Chaudière 214 - Vérification,Programmé,Annulé,2025-05-21,2025-05-28,,Martin Dubois,2,
WO3031,EQ128,Inspection,Maintenance Moteur électrique 128 - Réparation,Programmé,Terminé,2025-09-22,2025-09-25,2025-09-30,Claire Bernard,11,10
WO3032,EQ005,Révision générale,Maintenance Presse hydraulique 05 - Remplacement,Urgent,Terminé,2025-06-22,2025-06-26,2025-06-29,Claire Bernard,7,11
WO3033,EQ240,Amélioration,Maintenance Convoyeur 240 - Remplacement,Normal,Terminé,2025-05-30,2025-06-12,2025-06-17,Pierre Moreau,14,17
WO3034,EQ236,Inspection,Maintenance Moteur électrique 236 - Remplacement,Normal,Terminé,2025-07-25,2025-08-06,2025-08-05,Claire Bernard,11,1
WO3035,EQ086,Maintenance corrective,Maintenance Presse hydraulique 86 - Remplacement,Programmé,Terminé,2025-09-19,2025-09-30,2025-09-29,Marie Durand,3,2
WO3036,EQ327,Nettoyage,Maintenance Presse hydraulique 327 - Réparation,Urgent,Terminé,2025-08-07,2025-08-10,2025-08-11,Martin Dubois,7,18
WO3037,EQ366,Maintenance corrective,Maintenance Échangeur thermique 366 - Vérification,Urgent,Terminé,2025-06-13,2025-06-25,2025-06-23,Pierre Moreau,15,20
WO3038,EQ480,Dépannage urgent,Maintenance Robot industriel 480 - Réparation,Normal,Terminé,2025-05-10,2025-05-15,2025-05-16,Claire Bernard,5,17
WO3039,EQ353,Nettoyage,Maintenance Convoyeur 353 - Vérification,Programmé,Terminé,2025-06-11,2025-06-14,2025-06-12,Claire Bernard,9,2
WO3040,EQ108,Nettoyage,Maintenance Presse hydraulique 108 - Vérification,Normal,En cours,2025-11-04,2025-11-09,,Martin Dubois,3,
WO3041,EQ299,Nettoyage,Maintenance Compresseur 299 - Réparation,Normal,Terminé,2025-08-16,2025-08-18,2025-08-20,Marie Durand,4,18
