equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ201,Réducteur 201,Compresseur,Ligne de production 2,Grundfos,MOD-7249,SN967085,2017-03-08,Standard,Arrêté
EQ202,Convoyeur 202,Compresseur,Zone de conditionnement,Schneider,MOD-2531,SN603221,2018-07-17,Critique,En service
EQ203,Échangeur thermique 203,Robot industriel,Ligne de production 1,Danfoss,MOD-3820,SN414275,2020-10-31,Important,En maintenance
EQ204,Robot industriel 204,Compresseur,Atelier C,Schneider,MOD-5198,SN950187,2018-01-01,Critique,En service
EQ205,Groupe électrogène 205,Chaudière,Zone de stockage,Atlas Copco,MOD-1899,SN226908,2021-02-11,Important,Arrêté
EQ206,Moteur électrique 206,Compresseur,Station de pompage,Danfoss,MOD-4977,SN496093,2023-04-30,Standard,Arrêté
EQ207,Groupe électrogène 207,Convoyeur,Zone de conditionnement,Grundfos,MOD-5270,SN102788,2016-04-22,Standard,En maintenance
EQ208,Groupe électrogène 208,Groupe électrogène,Salle des machines,Atlas Copco,MOD-3708,SN358291,2016-05-01,Standard,En service
EQ209,Échangeur thermique 209,Réducteur,Station de pompage,ABB,MOD-4518,SN569264,2017-03-19,Standard,En service
EQ210,Robot industriel 210,Moteur électrique,Station de pompage,Schneider,MOD-6634,SN382775,2020-09-26,Important,En service
EQ211,Groupe électrogène 211,Transformateur,Atelier B,Bosch Rexroth,MOD-4114,SN318193,2020-11-20,Important,En maintenance
EQ212,Presse hydraulique 212,Compresseur,Atelier B,Bosch Rexroth,MOD-9667,SN994069,2018-12-26,Important,En maintenance
EQ213,Compresseur 213,Compresseur,Station de pompage,Danfoss,MOD-9199,SN818359,2024-03-27,Standard,En service
EQ214,Chaudière 214,Groupe électrogène,Ligne de production 1,Danfoss,MOD-6504,SN356969,2021-12-19,Important,En service
EQ215,Compresseur 215,Pompe centrifuge,Salle des machines,Atlas Copco,MOD-2615,SN116248,2023-08-28,Standard,En service
EQ216,Groupe électrogène 216,Presse hydraulique,Zone de conditionnement,Grundfos,MOD-7601,SN404431,2016-01-15,Critique,En service
EQ217,Réducteur 217,Pompe centrifuge,Zone de conditionnement,Grundfos,MOD-4426,SN423499,2021-11-24,Critique,En service
EQ218,Chaudière 218,Groupe électrogène,Atelier B,Atlas Copco,MOD-7521,SN931163,2022-11-27,Important,En service
EQ219,Convoyeur 219,Moteur électrique,Salle des machines,Schneider,MOD-5005,SN590148,2024-04-04,Standard,Arrêté
EQ220,Groupe électrogène 220,Moteur électrique,Salle des machines,Atlas Copco,MOD-2568,SN191954,2017-04-25,Standard,En service
EQ221,Réducteur 221,Moteur électrique,Station de pompage,Bosch Rexroth,MOD-2853,SN994677,2019-05-17,Important,En service
EQ222,Réducteur 222,Ventilateur,Station de pompage,Danfoss,MOD-4730,SN757539,2017-02-11,Important,En service
EQ223,Moteur électrique 223,Chaudière,Zone de conditionnement,Atlas Copco,MOD-2292,SN385726,2020-02-20,Standard,En service
EQ224,Presse hydraulique 224,Convoyeur,Atelier B,Danfoss,MOD-8405,SN337727,2016-12-07,Standard,En service
