equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ301,Pompe centrifuge 301,Pompe centrifuge,Zone de conditionnement,Atlas Copco,MOD-7855,SN868583,2023-04-10,Critique,En service
EQ302,Ventilateur 302,Échangeur thermique,Zone de stockage,Siemens,MOD-8219,SN910881,2019-10-29,Important,En service
EQ303,Groupe électrogène 303,Compresseur,Atelier B,Atlas Copco,MOD-8316,SN567276,2020-01-07,Important,En service
EQ304,Réducteur 304,Compresseur,Zone de stockage,Siemens,MOD-2479,SN315345,2016-10-21,Standard,En service
EQ305,Moteur électrique 305,Groupe électrogène,Salle des machines,ABB,MOD-3417,SN319658,2020-06-06,Important,En maintenance
EQ306,Robot industriel 306,Convoyeur,Ligne de production 2,Atlas Copco,MOD-6707,SN165662,2017-09-27,Important,En service
EQ307,Presse hydraulique 307,Groupe électrogène,Station de pompage,Atlas Copco,MOD-5992,SN570056,2017-03-25,Important,En service
EQ308,Transformateur 308,Chaudière,Ligne de production 2,ABB,MOD-4437,SN144249,2021-08-22,Standard,En service
EQ309,Robot industriel 309,Presse hydraulique,Atelier A,Bosch Rexroth,MOD-4605,SN696345,2022-04-27,Important,En service
EQ310,Réducteur 310,Ventilateur,Atelier B,ABB,MOD-9129,SN632828,2016-12-08,Critique,En service
EQ311,Convoyeur 311,Moteur électrique,Chaufferie,ABB,MOD-1580,SN399789,2023-06-05,Important,En service
EQ312,Pompe centrifuge 312,Groupe électrogène,Zone de conditionnement,Atlas Copco,MOD-1891,SN557875,2024-04-11,Important,En maintenance
EQ313,Compresseur 313,Pompe centrifuge,Ligne de production 1,Bosch Rexroth,MOD-7418,SN841318,2023-04-28,Critique,En service
EQ314,Convoyeur 314,Convoyeur,Ligne de production 1,Siemens,MOD-1526,SN401865,2020-03-03,Critique,En service
EQ315,Convoyeur 315,Moteur électrique,Ligne de production 1,ABB,MOD-8539,SN973102,2020-05-17,Standard,En service
EQ316,Compresseur 316,Échangeur thermique,Chaufferie,Bosch Rexroth,MOD-8473,SN492913,2019-12-26,Critique,Arrêté
EQ317,Robot industriel 317,Échangeur thermique,Atelier B,Grundfos,MOD-8949,SN135842,2019-05-08,Standard,En maintenance
EQ318,Transformateur 318,Pompe centrifuge,Zone de stockage,Danfoss,MOD-1457,SN961148,2017-08-08,Standard,Arrêté
EQ319,Groupe électrogène 319,Moteur électrique,Ligne de production 2,Danfoss,MOD-9416,SN924046,2019-05-02,Standard,En service
EQ320,Robot industriel 320,Pompe centrifuge,Atelier B,Danfoss,MOD-7307,SN645607,2023-01-05,Critique,En maintenance
EQ321,Robot industriel 321,Échangeur thermique,Ligne de production 1,Schneider,MOD-2708,SN909135,2021-11-15,Critique,Arrêté
EQ322,Ventilateur 322,Chaudière,Chaufferie,Siemens,MOD-1718,SN531840,2018-01-29,Critique,En maintenance
EQ323,Ventilateur 323,Robot industriel,Zone de conditionnement,Bosch Rexroth,MOD-1862,SN594864,2019-10-10,Important,En service
EQ324,Transformateur 324,Convoyeur,Atelier C,Siemens,MOD-6166,SN883167,2019-08-12,Important,En service
EQ325,Échangeur thermique 325,Moteur électrique,Salle des machines,Danfoss,MOD-1635,SN167296,2016-12-02,Critique,En maintenance
EQ326,Convoyeur 326,Ventilateur,Ligne de production 2,Bosch Rexroth,MOD-9958,SN424244,2024-09-04,Standard,En service
EQ327,Presse hydraulique 327,Réducteur,Chaufferie,Schneider,MOD-4089,SN448464,2024-02-05,Standard,En service
EQ328,Compresseur 328,Compresseur,Zone de conditionnement,ABB,MOD-7161,SN624079,2024-03-20,Critique,Arrêté
EQ329,Convoyeur 329,Pompe centrifuge,Ligne de production 1,Grundfos,MOD-8927,SN253004,2016-05-29,Important,En service
EQ330,Convoyeur 330,Moteur électrique,Atelier C,Atlas Copco,MOD-8924,SN812358,2019-10-29,Critique,En service
EQ331,Moteur électrique 331,Moteur électrique,Ligne de production 2,Danfoss,MOD-6026,SN735322,2016-06-27,Standard,En service
EQ332,Presse hydraulique 332,Presse hydraulique,Salle des machines,Schneider,MOD-8210,SN240394,2017-10-31,Important,En maintenance
EQ333,Compresseur 333,Robot industriel,Atelier B,Grundfos,MOD-9943,SN915609,2015-12-20,Standard,En service
EQ334,Réducteur 334,Échangeur thermique,Ligne de production 1,Danfoss,MOD-1324,SN696525,2016-09-23,Standard,En service
EQ335,Réducteur 335,Ventilateur,Zone de stockage,Atlas Copco,MOD-8663,SN823014,2024-09-10,Standard,En maintenance
EQ336,Échangeur thermique 336,Robot industriel,Ligne de production 2,Bosch Rexroth,MOD-4194,SN893743,2022-03-26,Critique,En service
EQ337,Ventilateur 337,Transformateur,Zone de conditionnement,Danfoss,MOD-1749,SN901066,2016-01-11,Critique,Arrêté
EQ338,Chaudière 338,Ventilateur,Atelier B,Siemens,MOD-7551,SN292101,2021-08-25,Standard,Arrêté
EQ339,Chaudière 339,Transformateur,Chaufferie,Grundfos,MOD-3039,SN360581,2024-08-14,Important,En maintenance
